,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,nm_pol,murder,rape,gangrape,robbery,theft,assualt murders,sexual harassement,totarea,totalcrime,long,lat,crime/area,area,crime_severity,crime_density,crime_risk_score
61,61,61,61,61,61,61,61,61,61,61,MANGOLPURI,8,15,1,9,116,27,10,2980192.322,186,77.09163,28.69664,62.41207947,2.980192322,16.3,6.241207945773641e-05,7.365969935643729
62,62,62,62,62,62,62,62,62,62,62,VIVEKVIHAR,0,1,0,6,120,1,3,4731868.997,131,77.30662,28.66676,27.68462104,4.731868997,5.950000000000001,2.7684621041506823e-05,2.956861940282303
63,63,63,63,63,63,63,63,63,63,63,LAHORI GATE,9,12,2,10,244,20,5,2975208.719,302,77.21885,28.65557,101.5054836,2.975208719,19.18,0.00010150548365611993,12.329392221002635
64,64,64,64,64,64,64,64,64,64,64,SULTAN PURI,0,9,0,66,631,16,7,1975070.373,729,77.07856,28.70265,369.1007723,1.975070373,34.32,0.000369100772289292,46.30413671546789
65,65,65,65,65,65,65,65,65,65,65,GEETA COLONY,3,6,0,9,254,9,11,1021961.219,292,77.27642,28.6554,285.7251279,1.021961219,15.76,0.00028572512789254873,35.718501109140554
66,66,66,66,66,66,66,66,66,66,66,CIVIL LINES,3,9,0,63,791,24,17,4215542.88,907,77.2215,28.68851,215.1561556,4.21554288,44.29,0.00021515615564086018,26.758841117612153
67,67,67,67,67,67,67,67,67,67,67,ASHOK VIHAR,5,10,2,52,445,22,7,3536288.039,543,77.17432,28.69245,153.5508403,3.536288039,28.860000000000003,0.00015355084031943022,18.937235370226475
68,68,68,68,68,68,68,68,68,68,68,TILAK NAGAR,7,29,3,44,466,27,8,1622207.446,584,77.10143,28.63896,360.003279,1.622207446,34.410000000000004,0.00036000327913671777,45.14909020109312
69,69,69,69,69,69,69,69,69,69,69,PALAM VILLAGE,4,9,3,22,192,19,4,1326803.624,253,77.08293,28.58809,190.6838324,1.326803624,15.99,0.0001906838325005962,23.651757543296227
70,70,70,70,70,70,70,70,70,70,70,MOTI NAGAR,2,24,0,44,814,41,24,3148605.142,949,77.14659,28.66013,301.4033063,3.148605142,51.11,0.00030140330628984283,37.709052242934625
71,71,71,71,71,71,71,71,71,71,71,HARI NAGAR,5,17,0,11,469,21,5,2386161.479,528,77.09946,28.60935,221.2758879,2.386161479,28.16,0.0002212758879257727,27.53582169083686
72,72,72,72,72,72,72,72,72,72,72,PAHARGANJ,7,16,0,19,283,29,14,1728182.346,368,77.20931,28.64583,212.9404925,1.728182346,24.300000000000004,0.00021294049256536036,26.477533523370017
73,73,73,73,73,73,73,73,73,73,73,SADAR BAZAR,4,3,0,13,379,3,4,2975208.719,406,77.21115,28.65399,136.4610144,2.975208719,18.36,0.00013646101445160492,16.767457007236672
74,74,74,74,74,74,74,74,74,74,74,SAROJINI NAGAR,1,5,0,25,347,6,0,1891342.634,384,77.19913,28.57449,203.0303727,1.891342634,17.37,0.00020303037276111019,25.219313358214237
75,75,75,75,75,75,75,75,75,75,75,NAJAFGARH,2,4,0,54,895,9,9,8461597.124,973,76.98269,28.60975,114.9901119,8.461597124,42.77,0.00011499011188327997,14.04144328498323
76,76,76,76,76,76,76,76,76,76,76,KAPASHERA,1,12,3,19,143,16,2,21500572.79,196,77.0872,28.52958,9.116036206,21.50057279,12.93,9.116036205842868e-06,0.5993356600633287
77,77,77,77,77,77,77,77,77,77,77,KALYANPURI,5,8,0,33,245,9,3,878452.7789,303,77.31708,28.61363,344.9246303,0.878452779,16.080000000000002,0.0003449246303021741,43.234657237448324
